id,is_rental,is_commercial,rent,price,num_bedrooms,area,x,y,num_rooms,num_bathrooms,pets,ownership_id,is_new_development,common_charges,is_furnished,financing_allowed,commission
792853,1,0,6500.0,,2.0,,-74.009651184082,40.7140121459961,4.0,2.0,1.0,5.0,0,,0,100.0,
899332,1,0,6000.0,,3.0,1365.0,-73.953987121582,40.8070297241211,5.0,2.0,1.0,15.0,0,,0,100.0,
892722,0,0,,3450000.0,3.0,1706.0,-73.98176000000002,40.7298549,5.0,2.5,1.0,15.0,0,1842.0,0,90.0,
855712,1,1,8850.0,,,1800.0,-73.99211919999998,40.7375124,5.0,,5.0,7.0,0,,0,100.0,
403290,1,1,,,,,-74.00692219999995,40.74741289999999,,,,7.0,0,,0,100.0,
908332,1,0,4650.0,,3.0,1150.0,-73.9690399169922,40.7998924255371,5.0,1.0,1.0,5.0,0,,0,100.0,
755195,1,0,5975.0,,1.0,923.0,-73.9836349487305,40.77431106567379,3.5,1.5,6.0,15.0,0,,0,100.0,
761844,0,0,,1999000.0,3.0,1757.0,-74.0074005126953,40.7089691162109,6.0,2.5,1.0,15.0,0,2489.0,0,90.0,2.5
821722,1,0,7000.0,,2.0,,-74.00706481933591,40.7048683166504,4.0,2.0,6.0,15.0,0,,1,100.0,
894844,0,0,,8750000.0,4.0,4098.0,-73.99481201171879,40.7392120361328,,4.5,1.0,15.0,0,5381.0,0,90.0,
71577,1,0,4300.0,,1.0,,-73.9668197631836,40.7647705078125,4.0,1.0,4.0,14.0,0,,1,100.0,
578384,1,0,2500.0,,1.0,900.0,-73.94626099999999,40.792682,4.0,1.0,1.0,5.0,0,,0,100.0,
73289,1,0,3000.0,,1.0,,-73.96521899999998,40.753735,3.0,1.0,5.0,13.0,0,,1,100.0,
877093,0,0,,2495000.0,2.0,1512.0,-74.00706481933591,40.7048683166504,4.0,2.5,1.0,15.0,0,1928.0,0,90.0,3.0
47487,0,0,,650000.0,1.0,,-73.9852939,40.7668267,3.0,1.0,1.0,3.0,0,,0,100.0,
895091,1,0,7500.0,,2.0,,-73.98737849999998,40.759916,5.0,2.5,1.0,15.0,0,,0,100.0,
559451,1,0,2795.0,,1.0,,-74.00600070000002,40.7083083,,1.0,6.0,13.0,0,,1,100.0,
809430,0,0,,2100000.0,1.5,1106.0,-73.98712899999998,40.725646999999995,4.0,2.0,1.0,15.0,0,1813.0,0,90.0,
855683,1,0,3500.0,,2.0,912.0,-73.945182800293,40.8130989074707,4.0,2.0,6.0,13.0,0,,0,100.0,
749743,1,0,4500.0,,2.0,783.0,-74.015751,40.706962,4.0,1.0,1.0,15.0,0,,1,100.0,
836041,0,0,,1375000.0,2.0,1100.0,-73.9561309,40.8039693,4.0,2.0,1.0,15.0,0,721.0,0,90.0,
691573,0,0,,5000000.0,,,-73.99443359999998,40.742180499999996,,,1.0,15.0,1,,0,100.0,
805041,1,0,6200.0,,2.0,1660.0,-73.98046875,40.7567939758301,4.0,1.0,5.0,16.0,0,,0,100.0,
779137,0,0,,5995000.0,3.0,2702.0,-74.0025100708008,40.7343406677246,6.0,3.5,1.0,15.0,0,3390.0,0,90.0,3.0
64483,1,1,,45000.0,,200.0,-73.98687729999999,40.751791299999994,,,5.0,5.0,0,,0,100.0,
577455,1,0,3325.0,,1.0,,-73.9640963,40.7547951,,1.0,6.0,5.0,0,,0,100.0,
862966,0,0,,7995000.0,2.3,3750.0,-73.984977722168,40.737941741943395,7.0,3.5,1.0,15.0,0,7730.0,0,80.0,3.0
728041,1,0,5600.0,,2.0,1090.0,-73.9875259399414,40.762733459472706,4.0,2.0,1.0,15.0,0,,0,100.0,
855699,0,0,,739000.0,0.5,,-74.0079040527344,40.7054443359375,2.5,1.0,6.0,15.0,0,518.0,0,90.0,
908363,1,0,5500.0,,2.0,,-74.00967659999998,40.7075665,4.0,2.0,1.0,15.0,0,,0,100.0,
818826,1,0,2775.0,,1.0,,-73.96605729999997,40.7599169,2.0,1.0,1.0,14.0,0,,0,100.0,
861741,1,0,6500.0,,1.0,1000.0,-73.9973983764648,40.742240905761705,,2.0,6.0,12.0,0,,1,100.0,
820121,0,0,,3788888.0,3.0,1844.0,-73.9913505,40.773990600000005,,3.5,1.0,15.0,0,2046.0,0,80.0,2.5
792809,1,0,6400.0,,2.0,,-73.99801339999998,40.7576264,6.0,2.0,1.0,5.0,0,,0,100.0,
614994,1,0,2900.0,,,500.0,-73.97713440000003,40.763833500000004,1.0,1.0,5.0,5.0,0,,0,100.0,
561788,1,0,1800.0,,1.0,,-73.96465969999997,40.771148700000005,1.0,1.0,4.0,14.0,0,,1,100.0,
804963,0,0,,1145000.0,1.0,1356.0,-73.9895324707031,40.765350341796896,4.0,1.5,1.0,15.0,0,1418.0,0,90.0,5.5
843360,0,0,,2150000.0,2.0,1388.0,-73.9709777832031,40.753303527831996,,2.5,1.0,15.0,0,1626.0,0,90.0,
817968,0,0,,1988000.0,1.0,845.0,-73.99456650000002,40.759030700000004,,1.5,1.0,15.0,0,1173.0,0,,
779615,0,0,,6495000.0,3.0,2205.0,-74.0094909667969,40.71860885620121,6.0,3.0,1.0,15.0,0,3329.0,0,90.0,
773092,1,0,8000.0,,2.0,1800.0,-73.9993438720703,40.722141265869105,,2.0,1.0,5.0,0,,0,100.0,
810039,0,0,,795000.0,2.0,1010.0,-73.94040129999995,40.7929713,5.0,2.0,1.0,15.0,0,923.0,0,90.0,
859131,0,0,,875000.0,1.0,,-73.98450799999999,40.779207899999996,3.5,1.0,1.0,3.0,0,,0,75.0,3.0
587838,0,1,,6900000.0,7.0,5500.0,-73.97059200000002,40.791829,,5.5,1.0,6.0,0,1.0,0,90.0,3.0
587837,0,1,,6900000.0,7.0,5500.0,-73.97059200000002,40.791829,,5.5,1.0,6.0,0,1.0,0,90.0,3.0
825164,0,0,,8995000.0,4.0,5644.0,-73.99443359999998,40.742180499999996,9.0,4.5,1.0,15.0,0,2555.0,0,90.0,
697916,1,0,32000.0,,5.0,5095.0,-74.0064468383789,40.714141845703104,7.0,5.5,1.0,15.0,0,,0,100.0,
732381,0,0,,2250000.0,2.0,,-73.96541479999995,40.756657399999995,,1.5,1.0,15.0,1,,0,90.0,
800673,0,0,,5300000.0,4.0,2753.0,-73.99443359999998,40.742180499999996,9.0,3.5,1.0,15.0,0,2221.0,0,90.0,
889421,1,0,3300.0,,1.0,625.0,-73.9640963,40.7547951,3.0,1.0,5.0,5.0,0,,0,100.0,
838736,0,0,,825000.0,1.0,900.0,-73.99608769999998,40.72695909999999,3.0,1.0,5.0,3.0,0,,0,80.0,
552576,1,1,14600.0,,,775.0,-74.00129849999995,40.7294549,,,5.0,5.0,0,,0,100.0,
745164,1,1,10000.0,,,800.0,-73.95105239999998,40.7809378,,,5.0,7.0,0,,0,100.0,
