is_rental,is_commercial,rent,price,num_bedrooms,area,num_rooms,num_bathrooms,pets,is_new_development,common_charges,is_furnished
0,0,,4250000.0,4.0,2800.0,7.0,4.0,1.0,0,0.0,0
0,0,,5000000.0,4.0,2878.0,9.0,3.5,1.0,0,1514.0,0
1,0,2950.0,,0.0,,2.5,1.0,1.0,0,,0
1,0,2950.0,,2.0,,5.0,1.0,5.0,0,,0
0,0,,520000.0,1.0,725.0,3.0,1.0,1.0,0,,0
0,0,,730000.0,1.0,,3.0,1.0,1.0,0,,0
0,0,,725000.0,1.0,888.0,3.0,1.0,1.0,0,,0
0,0,,1650000.0,3.0,1365.0,5.0,2.0,1.0,0,964.0,0
1,0,3800.0,,1.0,700.0,,1.0,1.0,0,,0
0,0,,430000.0,,,2.0,1.0,5.0,0,,0
0,0,,1150000.0,1.0,637.0,3.0,1.0,5.0,0,641.0,0
1,0,5800.0,,2.0,1190.0,4.0,2.0,4.0,0,,0
1,0,3000.0,,,532.0,2.0,1.0,5.0,0,,0
1,0,4900.0,,1.0,1100.0,,2.0,1.0,0,,0
0,0,,1800000.0,2.0,1242.0,4.0,2.0,1.0,0,1447.0,0
0,0,,2195000.0,2.0,1662.0,4.0,1.5,1.0,0,1255.0,0
0,0,,5999999.0,3.0,2877.0,6.0,2.5,1.0,0,3756.0,0
0,0,,275000.0,2.0,550.0,3.0,1.0,5.0,0,866.0,0
1,0,2800.0,,,500.0,2.0,,4.0,0,,0
1,0,4850.0,,2.0,,5.0,2.0,6.0,0,,0
1,0,4800.0,,1.0,,3.0,1.0,1.0,0,,1
1,0,8995.0,,2.0,2000.0,4.0,3.0,3.0,0,,0
0,0,,992000.0,1.0,609.0,3.0,1.0,1.0,0,998.0,0
0,0,,2950000.0,,,,,,1,,0
0,0,,750000.0,0.0,551.0,2.0,1.0,1.0,0,733.0,0
1,0,2300.0,,1.5,850.0,,1.0,4.0,0,,0
0,0,,10000000.0,,,,,5.0,0,,0
0,0,,1325000.0,1.0,1071.0,3.5,1.5,1.0,0,1300.0,0
1,0,6000.0,,1.0,999.0,3.5,1.5,6.0,0,,1
1,0,2630.0,,0.0,,2.0,1.0,1.0,0,,1
0,0,,3850000.0,5.0,3448.0,7.0,4.5,1.0,0,,0
1,0,7000.0,,2.0,1220.0,4.0,1.0,6.0,0,,1
0,0,,2995000.0,3.0,1795.0,4.0,3.0,1.0,0,2351.0,0
0,0,,1850000.0,1.0,1062.0,4.0,2.0,1.0,0,,0
0,0,,3188000.0,2.0,1266.0,,2.5,1.0,0,1860.0,0
0,0,,2184000.0,1.0,783.0,3.0,1.0,1.0,0,1079.0,0
1,0,2000.0,,1.5,900.0,,1.0,4.0,0,,0
1,0,9995.0,,3.0,1457.0,5.0,2.0,1.0,0,,0
0,0,,18000000.0,5.0,5800.0,15.0,7.0,1.0,0,,0
0,0,,2550000.0,2.0,1308.0,5.0,2.5,1.0,0,1372.0,0
1,0,3795.0,,1.0,,3.0,1.0,6.0,0,,1
1,0,12000.0,,3.0,,6.0,2.5,1.0,0,,0
0,0,,3625000.0,3.0,1953.0,,2.5,1.0,0,1188.0,0
1,1,9000.0,,,2500.0,,,5.0,0,,0
1,0,3950.0,,1.0,750.0,3.5,1.0,1.0,0,,0
1,0,4350.0,,1.0,851.0,3.0,1.0,5.0,0,,0
1,0,3900.0,,1.0,,3.0,1.0,5.0,0,,1
1,0,3900.0,,1.0,,3.0,1.0,1.0,0,,0
1,0,6000.0,,2.0,1000.0,4.0,2.0,5.0,0,,0
0,0,,4850000.0,2.0,1768.0,3.0,2.5,1.0,0,2485.91,0
0,0,,989000.0,1.0,,3.0,1.0,1.0,0,,0
0,0,,525.0,0.0,492.0,2.0,1.0,5.0,0,381.0,0
1,0,7150.0,,4.0,,,2.0,1.0,0,,0
0,0,,1430000.0,,,,,1.0,1,,0
0,0,,2995000.0,3.0,1690.0,6.0,3.0,1.0,0,1741.0,0
1,0,2500.0,,2.0,1000.0,4.0,1.0,4.0,0,,0
0,0,,2699990.0,2.0,1652.0,3.0,2.5,1.0,0,2052.0,0
1,0,9795.0,,3.0,1844.0,6.5,3.5,1.0,0,,0
1,0,,,2.0,1170.0,,2.0,6.0,0,,0
0,0,,1845000.0,2.0,,4.0,1.5,1.0,0,,0
1,0,10000.0,,,,,,5.0,0,,0
0,0,,579000.0,1.0,,3.0,,4.0,0,968.0,0
1,0,5250.0,,1.0,,4.0,1.0,4.0,0,,0
1,0,2650.0,,1.0,,3.0,1.0,1.0,0,,0
1,0,4295.0,,1.0,750.0,3.0,1.0,1.0,0,,0
0,0,,3195000.0,3.0,1530.0,5.0,3.0,1.0,0,2107.0,0
0,0,,549000.0,1.0,650.0,2.0,1.0,5.0,0,1251.0,0
0,0,,2625000.0,1.0,,3.5,2.0,1.0,0,1046.0,0
0,0,,9500000.0,4.0,4451.0,8.0,3.5,1.0,0,2934.0,0
1,0,6000.0,,2.0,1385.0,4.0,2.0,5.0,0,,0
0,0,,5395000.0,3.0,2702.0,6.0,3.5,1.0,0,3428.0,0
0,0,,2995000.0,3.0,1706.0,5.0,2.5,1.0,0,1386.0,0
1,0,5500.0,,1.0,850.0,3.0,2.0,4.0,0,,1
0,0,,3250000.0,3.0,1703.0,,2.5,1.0,0,1036.0,0
1,0,1700.0,,,,2.0,1.0,6.0,0,,0
0,0,,4000000.0,3.0,,6.0,3.0,1.0,0,,0
1,1,25000.0,,,5000.0,,,,0,,0
1,0,3650.0,,1.0,661.0,2.0,1.0,1.0,0,,0
0,0,,1595000.0,2.0,1012.0,5.0,2.0,1.0,0,1036.0,0
0,0,,1325000.0,1.0,779.0,3.0,1.0,1.0,0,1024.0,0
0,0,,3850000.0,5.0,3448.0,7.0,4.5,1.0,0,,0
1,0,5700.0,,2.0,1400.0,4.5,2.0,5.0,0,,0
1,1,12000.0,,,11002600.0,,2.0,5.0,0,,0
1,0,4000.0,,1.0,900.0,3.5,1.5,5.0,0,,0
0,0,,6000000.0,3.0,3742.0,,4.5,1.0,0,6515.0,0
1,0,2895.0,,,616.0,2.0,1.0,1.0,0,,0
0,1,,,,65000.0,,,,0,,0
0,0,,9950000.0,2.0,2145.0,4.0,2.5,1.0,0,2749.0,0
0,0,,2499000.0,1.0,1064.0,,2.0,1.0,0,1504.0,0
1,0,4999.0,,2.0,,4.0,2.0,4.0,0,,0
0,1,,2500000.0,,6500.0,,,5.0,0,,0
1,0,4095.0,,1.0,750.0,3.0,1.0,3.0,0,,0
1,0,2900.0,,0.0,620.0,2.5,1.0,5.0,0,,0
1,0,2999.0,,1.0,,3.0,1.0,1.0,0,,0
0,0,,995000.0,1.0,609.0,2.0,1.0,1.0,0,998.0,0
0,0,,2000000.0,6.0,2250.0,17.0,6.0,1.0,0,,0
1,0,2000.0,,2.0,950.0,4.0,1.0,1.0,0,,0
1,0,3800.0,,1.0,,3.0,1.0,1.0,0,,0
1,0,3300.0,,2.0,,4.5,1.0,1.0,0,,0
1,0,6200.0,,2.0,1400.0,4.5,2.0,5.0,0,,0
0,0,,700000.0,1.0,800.0,4.0,1.0,2.0,0,,0
1,0,2950.0,,1.0,,3.0,1.0,1.0,0,,0
1,0,4900.0,,1.0,1100.0,,2.0,1.0,0,,0
0,0,,795000.0,1.0,,,1.0,1.0,0,,0
1,0,2300.0,,1.0,580.0,4.0,1.0,4.0,0,,1
0,0,,18800000.0,3.0,3227.0,4.0,3.0,1.0,0,6658.0,0
1,0,3199.0,,1.5,,4.0,1.0,2.0,0,,0
0,0,,1320000.0,2.0,1347.0,5.0,2.0,1.0,0,705.69,0
0,0,,1562000.0,0.0,608.0,2.0,1.0,1.0,0,862.0,0
1,0,4000.0,,1.0,,3.0,1.0,1.0,0,,0
1,0,13000.0,,2.0,1500.0,5.0,2.0,4.0,0,,1
0,0,,2350000.0,,,,,1.0,1,,0
0,0,,2225000.0,2.0,1570.0,5.0,2.0,1.0,0,,0
1,1,7500.0,,,600.0,2.0,1.0,,0,,0
1,0,4495.0,,1.0,836.0,3.0,1.5,6.0,0,,0
0,0,,1230000.0,1.0,606.0,3.0,1.0,1.0,0,960.0,0
0,0,,995000.0,,,,,,1,,0
0,0,,4250000.0,2.0,2026.0,7.0,3.0,1.0,0,1482.0,0
1,0,3500.0,,,,2.5,1.0,1.0,0,,1
1,0,35000.0,,5.0,,,10.0,1.0,0,,0
1,0,2850.0,,1.0,,3.0,1.0,1.0,0,,1
0,0,,1195000.0,1.5,,4.0,1.0,1.0,0,,0
0,0,,1199000.0,1.0,764.0,3.0,1.0,1.0,0,822.0,0
0,0,,4595000.0,3.0,2517.0,6.0,3.0,1.0,0,3369.0,0
1,1,15000.0,,,,,,5.0,0,,0
0,0,,1250000.0,1.0,873.0,3.0,1.5,1.0,0,1197.0,0
1,1,,45000.0,,200.0,,,5.0,0,,0
1,0,3750.0,,1.0,661.0,2.0,1.0,1.0,0,,0
0,0,,3999500.0,2.0,1767.0,4.0,2.0,1.0,0,2316.0,0
0,0,,800000.0,1.0,,,1.0,6.0,0,,0
0,0,,2250000.0,1.0,1110.0,3.0,1.5,1.0,0,2266.0,0
1,0,3937.0,,1.0,750.0,3.0,1.0,3.0,0,0.0,0
0,0,,2479000.0,3.0,1560.0,,2.0,1.0,0,1267.0,0
0,0,,1350000.0,1.0,988.0,3.0,1.5,1.0,0,1021.0,0
1,0,4450.0,,2.0,1100.0,,2.0,3.0,0,,0
1,0,3900.0,,1.0,1000.0,3.5,1.5,5.0,0,,0
