0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
747125,64483,64484,451358,821477,855712,745155,745164,869944,506865,506864,653746,552576,653269,873526,458622,866893,48672,403290,887423,895300,568593,60380,871033,661899,63414,780510,400355,678874,798356,34825,34820,34826,34827,864030,791229,38204,805041,840633,30303,34833,754277,66432,873633,873869,855683,841098,756720,396452,395109,611705,828726,462657,828762,623128,708233,70266,595358,863109,614994,884527,888808,755195,888550,73618,49327,889421,887424,869732,534081,908865,30302,843274,909547,577455,562614,806242,877344,908244,651542,892404,71720,58087,800665,52468,744206,39487,39488,39812,794244,909349,30923,24058,458396,547999,792941,711559,821722,855701,749137
701032,268204,696816,30300,30301,831715,30299,792816,651541,824037,792815,30334,851487,884031,903521,895093,68786,68785,792798,889265,904752,899354,799953,892656,887463,800108,840721,818826,512158,578384,458396,582563,596782,69878,737072,873608,808494,845689,887351,841289,728041,908363,908364,792853,43098,907147,901407,869875,773092,30923,815757,24058,792811,896094,895091,795324,792809,792810,841369,870861,847727,30302,884014,909547,651542,71720,908865,800665,52468,39488,39487,58087,794244,828726,828762,711559,462657,611705,34833,754277,908332,892404,30303,889352,658390,900151,369894,369895,899332,899351,73662,39812,764622,56704,56705,887479,887405,866803,756720,909455
857442,823135,793333,745474,793863,751179,755545,903165,859077,884522,886259,809434,770590,744093,730844,871873,252706,774376,897294,890188,847360,47487,829877,879576,808995,774001,788955,802364,866899,825344,743413,776905,859131,793816,579187,860150,860149,873516,902179,889242,822550,817968,838638,833277,896237,766601,864019,837441,817983,851475,803896,859212,841932,785330,829491,810680,840324,871168,809430,755390,804963,68254,752238,793352,892727,62334,742664,817705,847411,479459,822505,847747,836041,574986,858527,844080,833248,832418,835141,757712,817995,869861,857443,898070,900139,574961,877093,901921,810039,574985,797436,753114,838468,715050,885661,414123,475554,805492,843360,818037
886259,809434,884522,744093,770590,793333,745474,793863,751179,755545,730844,857442,823135,879576,859077,903165,871873,252706,802364,866899,897294,890188,847360,47487,829877,743413,774376,776905,873516,825344,808995,774001,788955,793816,579187,766601,902179,838638,860150,860149,859131,822550,817968,864019,833277,889242,896237,837441,851475,817983,803896,841932,785330,859212,755390,829491,810680,840324,871168,809430,68254,793352,752238,742664,892727,847411,62334,817705,822505,479459,804963,844080,833248,847747,832418,836041,574986,858527,835141,817995,757712,898070,869861,857443,900139,806159,810039,885661,715050,838468,753114,574961,829196,877093,805492,574985,901921,843360,797436,475554
67884,876266,860116,758731,836961,838736,61810,897320,810000,822281,847753,785517,751101,462728,803896,810680,44047,840324,70786,55816,766617,855699,70267,826210,903165,859077,755545,751179,793863,745474,823135,793333,857442,744093,770590,809434,886259,884522,47487,890188,847360,897294,825344,866899,802364,774376,871873,252706,829877,730844,879576,774001,873516,788955,808995,776905,579187,793816,743413,859131,860149,860150,838638,889242,864019,902179,833277,817968,766601,896237,822550,837441,851475,817983,859212,785330,829491,841932,809430,871168,755390,68254,804963,793352,752238,817705,847411,892727,479459,742664,822505,62334,574986,847747,858527,835141,832418,833248,844080,836041
851475,825344,889242,774001,859212,896237,829877,866899,802364,793816,579187,847360,774376,873516,817983,859131,859077,903165,252706,838638,776905,744093,770590,809434,886259,884522,755545,751179,793863,808995,745474,793333,864019,823135,817968,857442,837441,833277,743413,730844,890188,47487,897294,809430,788955,871168,879576,871873,860149,860150,766601,785330,902179,841932,810680,829491,822550,840324,803896,755390,574986,574985,574961,574987,68254,900139,857443,835141,757712,832418,793447,833248,375581,844080,858527,817705,877093,817995,836041,843360,818037,479459,847411,822505,715050,838468,753114,804963,847747,805492,742664,829196,706654,846623,793352,62334,806159,885661,797436,752238
887423,403290,895300,661899,568593,60380,869944,871033,64484,64483,747125,451358,821477,855712,745155,745164,506865,506864,653746,552576,653269,873526,458622,866893,48672,63414,780510,678874,400355,798356,30302,909547,58087,845689,773092,792853,841289,458396,728041,908364,908363,792811,43098,896094,895091,887351,795324,792810,792809,841369,30303,34833,907147,582563,847727,754277,870861,737072,901407,869875,756720,884014,30923,596782,611705,512158,24058,889265,808494,462657,828726,828762,701032,268204,800108,887463,840721,696816,851487,892656,899332,30300,899351,73662,30301,831715,30299,792816,651541,887405,824037,792815,30334,884031,903521,578384,895093,68786,68785,866803
696816,701032,268204,30300,30301,831715,30299,792816,651541,824037,792815,30334,884031,903521,851487,895093,68786,68785,904752,899354,792798,799953,892656,889265,887463,800108,840721,818826,578384,512158,458396,596782,582563,69878,737072,808494,873608,887351,845689,901407,869875,907147,43098,908364,908363,728041,841289,792853,815757,30923,773092,24058,792811,896094,895091,795324,792809,792810,841369,870861,847727,30302,909547,884014,651542,71720,800665,52468,908865,39487,39488,794244,58087,828726,828762,711559,462657,611705,754277,34833,892404,908332,889352,658390,900151,39812,30303,369894,369895,764622,73662,899351,899332,56704,56705,887479,866803,887405,756720,909455
887424,889421,49327,73618,888808,869732,884527,863109,595358,708233,623128,70266,800665,52468,71720,744206,908244,651542,39487,39488,877344,794244,843274,534081,577455,908865,755195,828726,828762,395109,396452,547999,792941,614994,805041,888550,66432,855701,873633,34820,34825,34826,34827,711559,30923,611705,462657,791229,24058,864030,892404,39812,855683,754277,34833,38204,30303,873869,840633,909547,30302,756720,841098,458396,58087,562614,73289,544270,894458,806242,559440,813865,252693,72216,72215,71577,559451,857043,815204,52727,855703,561788,861741,895093,903521,68786,68785,884031,30334,792815,904752,899354,824037,651541,792816,30299,831715,30301,30300,851487
562614,806242,909349,66432,873633,805041,791229,864030,34820,34825,34827,34826,611705,873869,855683,30303,754277,34833,840633,38204,395109,396452,841098,888550,462657,756720,614994,909547,30302,828726,828762,892404,39812,58087,629881,70266,595358,708233,623128,884527,888808,73618,49327,863109,889421,887424,869732,73266,577455,908865,534081,755195,877344,908244,651542,71720,800665,52468,744206,39488,39487,794244,843274,458396,908332,73662,899351,899332,30923,24058,749137,416378,821722,887405,866803,907147,846856,792851,869875,901407,887351,792811,43098,41795,908364,908363,728041,841289,582563,737072,792809,792853,792810,906529,824030,773092,896094,895091,845689,795324
792927,800682,764622,369894,369895,900151,658390,889352,56705,56704,887479,57624,909455,252693,561788,57979,815204,749743,52727,72215,72216,71577,873608,69878,855703,818826,799953,792798,895093,68785,68786,903521,884031,904752,899354,30334,792815,824037,651541,792816,30299,831715,30301,30300,696816,701032,268204,851487,892656,578384,889265,840721,887463,800108,512158,73289,544270,894458,30923,24058,458396,711559,416378,596782,808494,815757,737072,582563,800665,52468,71720,651542,39487,39488,794244,901407,869875,908865,845689,907147,887351,43098,908364,908363,728041,841289,792853,773092,821308,792811,559440,813865,896094,895091,857043,792941,547999,795324,559451,855701
